CONTACT_ID,SPEAKER_TAG,CAPTION,CALL_LANGUAGE,NEGATIVE,NEUTRAL,POSITIVE,SENTIMENT_LABLE,START_TIME_SECOND,END_TIME_SECOND,TIME_SPOKEN_SECOND,TIME_SILENCE_SECOND,LOAD_DATE
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,Thank you so much and then I also just wanted uh to go ahead and um send you that information but we I I did have to verify now you did want access to enroll on your the the portal and um was that sent over to you whenever they performed the boarding call and explained everything to you?,en-US,1.28,53.78,44.94,Neutral,53,74,21,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,OK,en-US,9.38,42.41,48.21,Positive,62,62,0,3,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,Oh,en-US,11.75,49.62,38.63,Neutral,65,65,0,11,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,I don't recall at least um I can get into.,en-US,21.41,70.23,8.36,Neutral,76,80,4,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,"The referral side but I can't get into where I can, you know, see the usage pay things like that.",en-US,50.93,46.93,2.14,Negative,81,87,6,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Oh, OK, so let me go ahead and send you that information. Give me a second.",en-US,2.39,77.96,19.64,Neutral,87,92,5,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"I can send it to you again, um, bear with me.",en-US,1.0,73.8,25.21,Neutral,93,97,4,5,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"And then your username is going to be your email address and then *** at the end, so give me just a second.",en-US,2.43,90.81,6.76,Neutral,102,109,7,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,Yeah,en-US,8.01,43.81,48.17,Positive,106,107,1,3,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Uh, I just sent it to you so you could set that up, OK?",en-US,1.42,90.48,8.1,Neutral,110,113,3,2,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,"OK, you send it to my email?",en-US,1.33,91.5,7.16,Neutral,115,117,2,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Yes, I sent it to the email that you just verified.",en-US,0.88,80.4,18.72,Neutral,117,120,3,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,"Yeah, I got it.",en-US,3.34,47.39,49.27,Positive,121,122,1,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,Alrighty then if you have any questions or concerns just give us a call back OK?,en-US,3.41,81.31,15.28,Neutral,123,127,4,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,OK. Thank you.,en-US,1.91,23.8,74.28,Positive,127,130,3,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,"Thank you mhm, enjoy the rest of your day.",en-US,0.45,2.36,97.19,Positive,129,131,2,1,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,CUSTOMER,You too.,en-US,4.49,57.69,37.82,Neutral,132,133,1,0,2025-03-10 05:46:54.789757
ce79464e-86fd-4384-802b-ae13e09ba949,AGENT,Mhm bye bye.,en-US,8.65,80.8,10.54,Neutral,133,133,0,0,2025-03-10 05:46:54.789757
d7e0a6cc-ec73-43bf-84ce-b46efc383d22,CUSTOMER,"Hello, no one is available to take your call. Please leave a message after the tone.",en-US,78.72,20.43,0.85,Negative,0,5,5,4,2025-03-10 05:46:57.550355
d7e0a6cc-ec73-43bf-84ce-b46efc383d22,AGENT,"Hello, this is Celeste with Positgen Solar. Um, I am getting back to you in regards to an email we received. If you could please give me a call back at *-***-***-****. Thank you and have a great day.",en-US,0.5,21.73,77.77,Positive,9,22,13,0,2025-03-10 05:46:57.550355
59ca2f0c-cf2e-4639-a17f-72ab65cf08fa,CUSTOMER,"Your call has been forwarded to voicemail. The person you're trying to reach is not available. At the tone, please record your message. When you have finished recording you may hang up.",en-US,73.08,25.99,0.93,Negative,0,9,9,0,2025-03-10 05:47:00.309515
59ca2f0c-cf2e-4639-a17f-72ab65cf08fa,AGENT,"Hi, uh, this is Celeste from Posit and Solar. Mr. Kevin Hart, if you could please give me a call back. I'm calling in regards to your email inquiry, uh, regarding your portal, and please give me a call back at *-***-***-****. Thank you so much and have a great day.",en-US,0.39,16.95,82.66,Positive,9,26,17,0,2025-03-10 05:47:00.309515
ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628,CUSTOMER,has been forwarded to an automated voice messaging system.,en-US,1.74,92.38,5.87,Neutral,0,3,3,2,2025-03-10 05:47:03.132719
ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628,CUSTOMER,Is not available.,en-US,44.32,52.61,3.08,Neutral,5,7,2,1,2025-03-10 05:47:03.132719
ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628,CUSTOMER,"At the tone, please record your message. When you've finished recording you may hang up or press * for more options. To leave a callback number, press *.",en-US,1.38,91.59,7.03,Neutral,8,17,9,3,2025-03-10 05:47:03.132719
ef86d123-3b8c-4e30-a6f8-1cc6dbe3e628,AGENT,"Hello, this is Celeste with Positant Solar. Um, Miss, Mr. um, Burakulfar, um, I was calling in regards to your billing ingra. If you could please give me a call back at *-***-***-****. Thank you and have a great day.",en-US,0.83,36.22,62.95,Positive,20,34,14,0,2025-03-10 05:47:03.132719
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Hello?,en-US,4.48,79.4,16.11,Neutral,1,2,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Hi, hello, this is Celeste with Posogen Solar. Uh, is this, um, Steven Byrons?",en-US,0.87,87.43,11.69,Neutral,2,9,7,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Uh, one problem, I already have solar panels.",en-US,40.56,52.61,6.83,Neutral,9,13,4,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Um, no, yes, it's in regards to an inquiry you, you submitted with us with, with the company that you have panels with. We're Positgen Solar.",en-US,3.82,90.73,5.45,Neutral,13,22,9,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Oh wait a minute, oh, OK. So what if, oh yeah, right. OK.",en-US,3.22,62.02,34.76,Neutral,23,28,5,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Yeah,en-US,8.01,43.81,48.17,Positive,25,26,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"So it's so just to, just to let you know that the call is being recorded for quality assurance purposes and just to move forward uh to be able to help you out um I did just need to verify just three things and can you verify the address that is associated with your solar panels?",en-US,4.57,85.19,10.24,Neutral,26,44,18,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Well, wait a minute. First of all, what's the, what's the purpose of the call for the call?",en-US,24.07,73.51,2.42,Neutral,44,49,5,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Well, I received a case um regarding a general question, uh, but the case does not have a question. It doesn't have information so I was trying to get more information in regards to if you know you needed anything, uh, but in order to do so I do have to verify, you know, your the these three things I have to verify the address that is associated with the account, um, your email address and your phone number just to make sure I'm speaking to Mr. Steven Barons.",en-US,30.35,66.8,2.85,Neutral,48,76,28,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"That's odd you're calling and went on a Saturday. Um, yeah, [REDACTED].",en-US,61.43,37.14,1.43,Negative,77,83,6,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Mhm.,en-US,7.62,73.91,18.48,Neutral,81,82,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Uh-huh.,en-US,8.11,81.25,10.64,Neutral,83,84,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Um, uh, my phone number is ***-***-****.",en-US,3.74,91.69,4.56,Neutral,85,90,5,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,And just your email address.,en-US,8.73,85.83,5.44,Neutral,91,93,2,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And what,en-US,13.53,69.33,17.14,Neutral,91,92,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Oh, I have two of them. Sman Bay ** at gmail.com.",en-US,1.95,75.51,22.55,Neutral,93,99,6,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"There you go. And um the city, state and zip code of your address?",en-US,6.23,90.24,3.54,Neutral,99,103,4,2,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,** *****.,en-US,6.32,87.16,6.52,Neutral,105,107,2,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,And that city state?,en-US,17.66,79.5,2.84,Neutral,108,109,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"That's in New Jersey, Audubon, Audubon, New Jersey.",en-US,1.82,82.24,15.94,Neutral,110,113,3,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Got it thank you so much. Now, so um I just received this case it doesn't have a reason or anything and I just wanted to verify if if there was something that I can help you with that you were inquiring about recently or everything has been situated.",en-US,6.22,64.97,28.81,Neutral,113,130,17,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Yeah,en-US,8.01,43.81,48.17,Positive,121,122,1,7,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Oh, got it. I think I called about * months ago.",en-US,3.93,81.71,14.37,Neutral,129,132,3,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Mhm. And what was it? Do you remember what was it about or didn't, but this, this was recently.",en-US,5.89,89.61,4.5,Neutral,133,140,7,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And some,en-US,6.44,66.56,27.0,Neutral,133,134,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Had to be.,en-US,16.77,61.74,21.49,Neutral,135,135,0,4,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Yeah, I was just.",en-US,11.89,67.78,20.33,Neutral,139,140,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Yeah, the, the guy that sold me the panels.",en-US,13.82,77.21,8.97,Neutral,141,144,3,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Mhm.,en-US,7.62,73.91,18.48,Neutral,144,144,0,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Um,",en-US,7.58,76.2,16.22,Neutral,145,146,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,He had told me that,en-US,4.36,86.83,8.81,Neutral,146,148,2,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Um,",en-US,7.58,76.2,16.22,Neutral,149,149,0,3,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Let me see, he had told me that um.",en-US,3.09,91.35,5.56,Neutral,152,155,3,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,I would be paying my electric bill to your company and not PSE and G.,en-US,45.01,51.23,3.76,Neutral,156,162,6,2,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And,en-US,14.01,49.95,36.04,Neutral,164,165,1,2,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And also it turns out that I'm really not saving a whole heck of a lot of money saving a little bit.,en-US,84.76,14.01,1.23,Negative,167,171,4,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Because I, I lease these panels.",en-US,2.87,84.75,12.38,Neutral,172,175,3,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Mhm.,en-US,7.62,73.91,18.48,Neutral,176,176,0,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And they charged me so much per month for the for the panels.,en-US,74.66,23.38,1.95,Negative,176,180,4,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Mhm.,en-US,7.62,73.91,18.48,Neutral,180,181,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,And it comes out to probably the same amount as almost the same amount as before I even had them.,en-US,15.61,68.4,15.99,Neutral,182,188,6,2,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,So those were my questions.,en-US,7.99,84.64,7.36,Neutral,190,192,2,2,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Hm,en-US,9.48,64.7,25.82,Neutral,194,194,0,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Yes.,en-US,7.42,58.11,34.46,Neutral,195,197,2,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,The cost of the lease is is is almost even with what I was already paying for my electric.,en-US,46.99,47.62,5.39,Neutral,196,202,6,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Um, the **.** monthly?",en-US,5.86,90.24,3.91,Neutral,203,206,3,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Yeah. Yeah. Mhm.,en-US,1.56,49.9,48.55,Neutral,206,208,2,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Mhm, with your, with your, um,",en-US,1.88,84.58,13.53,Neutral,208,211,3,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"My electric bill is lower than that in the winter, but in the summers, it's, it's higher.",en-US,18.46,65.57,15.97,Neutral,212,217,5,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,I know.,en-US,11.43,64.47,24.11,Neutral,212,213,1,4,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Yeah, and that's, that's, that's one of the things is, um, that, that's one of the benefits as well and you have to take into consideration, you know, the, the weather and everything. I always like to tell my customers to at least wait, um, you know, a full year to be able to grab.",en-US,2.15,31.92,65.93,Positive,217,234,17,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Ask the most information. I know it's, it's a long, it's a long term, uh, investment because you know we have customers that you know they don't produce throughout their winter months, which, you know, we are experiencing a lot of winter months right now, especially with the, you know, with the cold weather, not a lot of sun, um, and you know with summer coming up that's one of our best benefits, uh, some of our customers it diff it it's just different for everybody. I can't speak for, you know, just one person.",en-US,10.71,65.5,23.8,Neutral,234,262,28,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"I one of uh like just one customer but there's customers where you know they they do see the value in the system, you know, most likely summer because that's, you know, one of the best months um depending on where you know you're actually located to be able to, you know, consume all those savings and, and have your system, you know, overproduce. Now the benefits, the benefits of it, I know like, you know, in your winter months you're not gonna see a lot of benefits and, and that's because of the weather.",en-US,3.28,25.53,71.19,Positive,262,292,30,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Uh, but it is, um, still helping you feed off of the solar throughout the day because, you know, as, as you use, as you produce the energy, you know, uh, from the, the peak of the morning that you have on your, on your actual, um, solar panels.",en-US,2.1,62.93,34.98,Neutral,292,312,20,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"From the beginning of the morning when you, when you hit your, when you actually hit your peak, then, you know, you're, you're producing it and, and using the same energy that you're producing on a day to day basis. Now, you know, when the sun goes down, obviously you go to the grid and that's, that means, you know, it's, it's going, it's feeding off of your actual utility company.",en-US,1.68,74.85,23.47,Neutral,312,334,22,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Um, and that's where you see your utility bill still being, you know, a charged because any energy that's not covered by our solar solar, then that actually gets charged by your utility company now on months that you are going going to overproduce, then you will see the credits on your utility bill um stating how much you actually sold back to the actual utility company and um it'll show it on the bill as well. It, it, it tells you.",en-US,15.57,80.23,4.2,Neutral,334,362,28,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"You know, from from the from the utility company to um to you and um on the bill it actually it would actually show that information uh there's gonna be months that that you you will experience, you know, a low, you know, a low production uh it all depends on weather as well and I like to tell my customers at least give it that first year. I know you just got activated back in it looks like um July.",en-US,20.55,72.76,6.69,Neutral,362,392,30,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Mhm.,en-US,7.62,73.91,18.48,Neutral,389,390,1,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"And I, I think they also mentioned about the possibility of putting one extra panel up there.",en-US,0.97,87.61,11.43,Neutral,391,397,6,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,But I never got I never heard anything else about that.,en-US,65.24,33.29,1.47,Negative,398,401,3,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Yeah and that that can take um that can take place but I will let you know if you do do do an additional like system as far as even an extra panel because it's not within the first design then that will be um you know an extra not an extra but it would, it would be a different contract for that additional um those additional panels, OK.",en-US,7.55,83.91,8.53,Neutral,401,424,23,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Oh, so in other words, they're gonna charge me more for adding another panel.",en-US,49.17,46.45,4.38,Negative,423,427,4,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Yeah, and, and only because you know the system is designed whenever the design team takes into consideration it takes into consideration like how many panels is your house uh going to need, how much energy are those panels going to.",en-US,13.12,79.57,7.31,Neutral,426,440,14,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Um, measure on, um, you know, on a yearly basis to be able to see, you know, how, how can they design the system exactly for your home, so that's why, you know, when there's additional panels to be added then then that considers a different contract because it's it's all based off of, you know, contract by contract um I do like to be transparent with my customers I do like to give them all the information that I do contain.",en-US,3.63,87.57,8.8,Neutral,440,467,27,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Because I don't want, you know, any, you know, miscommunication or, you know, an upset customer not knowing that, you know, that could possibly happen and in these cases, some, some of these cases are it's not explained and, and I do understand that, yeah.",en-US,76.49,21.8,1.72,Negative,467,483,16,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Well, yeah, but she has been done.",en-US,24.5,70.38,5.12,Neutral,482,484,2,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Did not go over any of that with me, but they're up there now, so.",en-US,13.19,77.92,8.9,Neutral,484,489,5,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Yeah.,en-US,9.89,57.98,32.13,Neutral,490,491,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Um, you know, there's not much I can do about it. All right.",en-US,46.1,49.7,4.19,Neutral,490,494,4,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"Yeah, alright, and I just, I was just wanted to, did, did I answer all your questions and concerns?",en-US,3.71,64.17,32.12,Neutral,494,500,6,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,Yeah.,en-US,9.89,57.98,32.13,Neutral,499,499,0,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"Yes, yes.",en-US,2.49,49.11,48.4,Neutral,500,501,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,"OK, if you have any other questions or concerns in the for the future, just know that you can reach out to us and we'll be able to help you, OK?",en-US,2.76,59.7,37.54,Neutral,501,507,6,1,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,OK.,en-US,8.54,60.05,31.41,Neutral,508,509,1,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Alright thank you so much enjoy the rest of your weekend.,en-US,0.29,1.94,97.77,Positive,509,511,2,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,CUSTOMER,"OK, bye-bye.",en-US,12.15,72.45,15.4,Neutral,510,513,3,0,2025-03-10 05:47:14.033964
12f8583f-b4d3-4f7c-867d-d8045da27021,AGENT,Mhm bye bye,en-US,7.01,80.36,12.63,Neutral,512,513,1,0,2025-03-10 05:47:14.033964
18972bf1-faa9-4d2b-8644-03aea19da9ba,CUSTOMER,Hello?,en-US,4.48,79.4,16.11,Neutral,2,3,1,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,AGENT,"Hi, good afternoon. This is Celeste with Pos Solar. Is this Mr. uh, Nicholas Rouse?",en-US,0.52,77.04,22.43,Neutral,3,9,6,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,CUSTOMER,Yeah.,en-US,9.89,57.98,32.13,Neutral,9,10,1,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,AGENT,"Hi, Mr. Rouse, uh, we received your intake, um, your email intake, and I wanted to go ahead and answer your question, uh, but before doing so, can you go ahead and verify your phone number for me, please?",en-US,1.0,86.82,12.18,Neutral,10,23,13,1,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,CUSTOMER,***-***-****,en-US,14.4,76.3,9.3,Neutral,24,27,3,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,AGENT,Thank you. And then just for verification reasons we do have to verify your email address and um the address that is associated with the account here at Poshagen.,en-US,1.11,79.37,19.53,Neutral,27,37,10,1,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,CUSTOMER,"OK, it's Ralph ** at gmail.com and [REDACTED].",en-US,0.81,85.71,13.48,Neutral,38,44,6,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,AGENT,"OK, zip code?",en-US,3.05,90.26,6.69,Neutral,44,46,2,1,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,CUSTOMER,*****,en-US,15.41,64.98,19.61,Neutral,47,49,2,0,2025-03-10 05:47:18.743375
18972bf1-faa9-4d2b-8644-03aea19da9ba,AGENT,Thank you and then the uh the email address is different so do you have a different email address?,en-US,1.83,77.48,20.69,Neutral,49,54,5,2,2025-03-10 05:47:18.743375
